Joint1(deg),Joint2(deg),Joint3(deg),Joint4(deg),Joint5(deg),Joint6(deg)
-5.90,64.44,-39.90,-26.44,-73.65,4.96
-5.90,64.44,-39.90,-26.44,-73.65,4.96
-5.90,64.44,-39.90,-26.44,-73.65,4.96
-5.90,64.44,-39.90,-26.44,-73.65,4.96
-5.87,64.43,-39.91,-26.44,-73.68,4.96
-5.87,64.43,-39.91,-26.44,-73.68,4.96
-5.87,64.43,-39.91,-26.44,-73.68,4.96
-5.87,64.43,-39.91,-26.44,-73.68,4.96
-5.62,64.32,-39.86,-26.45,-73.90,4.97
-5.62,64.32,-39.86,-26.45,-73.90,4.97
-5.62,64.32,-39.86,-26.45,-73.90,4.97
-5.62,64.32,-39.86,-26.45,-73.90,4.97
-5.15,64.02,-39.89,-26.48,-74.34,4.96
-5.15,64.02,-39.89,-26.48,-74.34,4.96
-5.15,64.02,-39.89,-26.48,-74.34,4.96
